,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
1886,955,817,-138,57,848,863
1887,143,845,702,47,688,703
1888,599,750,151,13,137,152
1889,381,861,480,31,466,481
1890,163,88,-75,61,911,926
1891,645,297,-348,43,638,653
1892,544,786,242,17,228,243
1893,185,283,98,8,84,99
1894,143,537,394,27,380,395
1895,174,530,356,24,342,357
1896,552,788,236,17,222,237
1897,550,464,-86,59,900,915
1898,213,7,-206,52,780,795
1899,143,358,215,17,201,216
1900,422,416,-6,64,980,995
1901,80,46,-34,63,952,967
1902,648,508,-140,56,846,861
1903,55,768,713,47,699,714
1904,953,532,-421,39,565,580
1905,800,286,-514,33,472,487
1906,339,587,248,17,234,249
1907,77,829,752,48,738,753
1908,670,244,-426,39,560,575
1909,8,785,777,51,763,778
1910,447,45,-402,40,584,599
1911,653,448,-205,53,781,796
1912,500,949,449,30,435,450
1913,655,9,-646,24,340,355
1914,896,475,-421,39,565,580
1915,542,628,86,8,72,87
1916,327,424,97,8,83,98
1917,41,150,109,10,95,110
1918,964,704,-260,48,726,741
1919,711,379,-332,44,654,669
1920,649,774,125,11,111,126
1921,371,382,11,4,5,12
1922,586,443,-143,56,843,858
1923,356,698,342,24,328,343
1924,611,706,95,10,81,96
1925,121,106,-15,64,971,986
1926,778,769,-9,66,977,992
1927,248,61,-187,54,799,814
1928,852,655,-197,53,789,804
1929,130,65,-65,62,921,936
1930,298,474,176,12,162,177
1931,603,332,-271,48,715,730
1932,608,824,216,15,202,217
1933,379,752,373,26,359,374
1934,897,791,-106,59,880,895
1935,471,325,-146,56,840,855
1936,177,941,764,50,750,765
1937,611,420,-191,53,795,810
1938,570,893,323,23,309,324
1939,511,363,-148,55,838,853
1940,144,991,847,57,833,848
1941,763,22,-741,19,245,260
1942,745,79,-666,24,320,335
1943,571,46,-525,33,461,476
1944,458,93,-365,43,621,636
1945,227,464,237,18,223,238
1946,356,16,-340,43,646,661
1947,319,171,-148,55,838,853
1948,49,575,526,36,512,527
1949,262,298,36,4,22,37
1950,431,205,-226,51,760,775
1951,844,370,-474,36,512,527
1952,646,332,-314,46,672,687
1953,65,70,5,3,3,6
1954,693,327,-366,42,620,635
1955,241,852,611,41,597,612
1956,80,422,342,24,328,343
1957,407,367,-40,61,946,961
1958,306,327,21,4,7,22
1959,760,480,-280,46,706,721
1960,951,669,-282,48,704,719
1961,866,56,-810,15,176,191
1962,801,183,-618,27,368,383
1963,496,184,-312,44,674,689
1964,558,503,-55,61,931,946
1965,116,473,357,25,343,358
1966,569,695,126,11,112,127
1967,271,448,177,13,163,178
1968,254,714,460,31,446,461
1969,247,709,462,32,448,463
1970,172,530,358,25,344,359
1971,246,637,391,28,377,392
1972,670,887,217,16,203,218
1973,937,887,-50,62,936,951
1974,304,169,-135,56,851,866
1975,964,94,-870,10,116,131
1976,973,559,-414,39,572,587
1977,461,640,179,14,165,180
1978,362,142,-220,51,766,781
1979,294,222,-72,59,914,929
1980,430,779,349,25,335,350
1981,704,264,-440,36,546,561
